,TLT.OPEN,TLT.HIGH,TLT.LOW,TLT.CLOSE
2007-05-07,88.7,88.85,88.67,88.84
2007-05-08,89.01,89.01,88.64,88.64
2007-05-09,88.65,88.66,88.26,88.29
2007-05-10,88.4,88.5899,88.31,88.5
2007-05-11,88.64,88.7,88.1325,88.19
2007-05-14,88.23,88.28,87.96,87.96
2007-05-15,88.19,88.2101,87.66,87.93
2007-05-16,87.86,88,87.83,87.87
2007-05-17,87.6,87.72,87.411,87.51
2007-05-18,87.35,87.4999,86.88,86.93
2007-05-21,86.93,87.24,86.8305,87.19
2007-05-22,87.18,87.2,86.68,86.74
2007-05-23,86.84,86.84,86.31,86.49
2007-05-24,86.46,86.5899,85.96,86.57
2007-05-25,86.4,86.61,86.33,86.37
2007-05-29,86.51,86.5699,85.83,86.36
2007-05-30,86.79,86.79,86.39,86.54
2007-05-31,86.56,86.58,86.04,86.38
2007-06-01,85.9,86.84,85.54,85.59
2007-06-04,85.83,86.02,85.67,85.98
2007-06-05,85.89,85.94,85.38,85.44
2007-06-06,85.36,85.54,85.26,85.4
2007-06-07,84.63,84.71,83.73,83.87
2007-06-08,83.61,84.12,83.36,83.8
2007-06-11,83.49,83.89,83.26,83.56
2007-06-12,82.91,83.42,82.2,82.35
