Date,open,high,low,close
2014-01-08,1223.5,1227.9,1221.9,1227.3
2014-01-07,1237,1237,1227.9,1231.4
2014-01-06,1244.7,1248.6,1222,1239.9
2014-01-03,1229.6,1241,1229.6,1240.6
2014-01-02,1220,1227.1,1220,1227.1
2013-12-31,1195,1215.5,1187.2,1204.2
2013-12-30,1205.8,1205.8,1205.8,1205.8
2013-12-27,1213,1217.6,1213,1216
2013-12-26,1216.6,1216.7,1214.4,1214.4
2013-12-24,1202.9,1205.6,1202.9,1205.4
2013-12-23,1204.1,1204.1,1199.1,1199.1
2013-12-20,1195.3,1207.4,1195.3,1205.8
2013-12-19,1204,1205.4,1195.8,1195.8
2013-12-18,1237.2,1237.2,1237.2,1237.2
2013-12-17,1235.4,1235.4,1230.2,1232.3
2013-12-16,1250.4,1250.4,1246.6,1246.6
2013-12-13,1233.7,1236.7,1233.2,1236.7
2013-12-12,1236.6,1237.2,1227,1227
2013-12-11,1259.3,1259.3,1259.3,1259.3
2013-12-10,1263.1,1263.1,1263.1,1263.1
2013-12-09,1237,1237,1234.6,1236.2
2013-12-06,1217,1236.7,1217,1231
2013-12-05,1230.7,1235.7,1221,1234.1
2013-12-04,1220.7,1249.5,1220.2,1249.5
2013-12-03,1221.3,1226.2,1221.3,1223.1
2013-12-02,1231.1,1231.1,1224.2,1224.2
2013-11-29,1253.4,1256.7,1252.8,1252.8
2013-11-27,1255,1255,1240.3,1240.3
2013-11-26,1245.7,1249.7,1243.8,1243.8
2013-11-25,1243.3,1245.4,1241,1243.8
2013-11-22,1246.8,1246.8,1246.8,1246.8
2013-11-21,1243.3,1248,1243.3,1246.4
