Date,Open,High,Low,Close
1987-11-25,246.42,246.54,244.08,244.1
1987-11-27,244.11,244.12,240.34,240.34
1987-11-30,240.27,240.34,225.78,230.3
1987-12-01,230.32,234.02,230.3,232
1987-12-02,232.01,234.56,230.31,233.45
1987-12-03,233.46,233.9,225.21,225.21
1987-12-04,225.2,225.77,221.24,223.92
1987-12-07,223.98,228.77,223.92,228.76
1987-12-08,228.77,234.92,228.69,234.91
1987-12-09,234.91,240.09,233.83,238.89
1987-12-10,238.89,240.05,233.4,233.57
1987-12-11,233.6,235.48,233.35,235.32
1987-12-14,235.3,242.34,235.04,242.19
1987-12-15,242.19,245.59,241.31,242.8
1987-12-16,242.81,248.11,242.8,248.08
1987-12-17,248.08,248.6,242.96,242.98
1987-12-18,243.01,249.18,242.98,249.16
1987-12-21,249.14,250.25,248.3,249.54
1987-12-22,249.56,249.97,247.01,249.95
1987-12-23,249.96,253.35,249.95,253.16
1987-12-24,253.13,253.16,251.68,252.02
1987-12-28,252.01,252.02,244.19,245.57
1987-12-29,245.58,245.88,244.28,244.59
1987-12-30,244.63,248.06,244.59,247.86
1987-12-31,247.84,247.86,245.22,247.08
1988-01-04,247.1,256.44,247.08,255.94
1988-01-05,255.95,261.78,255.94,258.63
1988-01-06,258.64,259.79,257.18,258.89
1988-01-07,258.87,261.32,256.18,261.07
1988-01-08,261.05,261.07,242.95,243.4
1988-01-11,243.38,247.51,241.07,247.49
1988-01-12,247.44,247.49,240.46,245.42
1988-01-13,245.41,249.25,241.41,245.81
1988-01-14,245.83,247,243.97,245.88
1988-01-15,246.02,253.65,245.88,252.05
1988-01-18,252.05,252.86,249.98,251.88
1988-01-19,251.84,253.33,248.75,249.32
1988-01-20,249.31,249.32,241.14,242.63
1988-01-21,242.65,244.25,240.17,243.14
1988-01-22,243.14,246.5,243.14,246.5
1988-01-25,246.53,252.87,246.5,252.17
1988-01-26,252.13,252.17,249.1,249.57
1988-01-27,249.58,253.02,248.5,249.38
1988-01-28,249.39,253.66,249.38,253.29
1988-01-29,253.31,257.07,252.7,257.07
1988-02-01,257.05,258.27,254.93,255.04
1988-02-02,255.05,256.08,252.8,255.57
1988-02-03,255.56,256.98,250.56,252.21
1988-02-04,252.2,253.03,250.34,252.21
1988-02-05,252.22,253.85,250.9,250.96
1988-02-08,250.95,250.96,247.82,249.1
1988-02-09,249.11,251.72,248.66,251.72
1988-02-10,251.74,256.92,251.72,256.66
1988-02-11,256.63,257.77,255.12,255.95
1988-02-12,255.95,258.86,255.85,257.63
1988-02-16,257.61,259.84,256.57,259.83
1988-02-17,259.94,261.47,257.83,259.21
1988-02-18,258.82,259.6,256.9,257.91
1988-02-19,257.9,261.61,257.62,261.61
1988-02-22,261.6,266.06,260.88,265.64
1988-02-23,265.62,266.12,263.11,265.02
1988-02-24,265.01,266.25,263.87,264.43
1988-02-25,264.39,267.75,261.05,261.58
1988-02-26,261.56,263,261.38,262.46
1988-02-29,262.46,267.82,262.46,267.82
1988-03-01,267.82,267.95,265.39,267.22
1988-03-02,267.23,268.75,267,267.98
1988-03-03,267.98,268.4,266.82,267.88
1988-03-04,267.87,268.4,264.72,267.3
1988-03-07,267.28,267.69,265.94,267.38
1988-03-08,267.38,270.06,267.38,269.43
1988-03-09,269.46,270.76,268.65,269.06
1988-03-10,269.07,269.35,263.8,263.84
1988-03-11,263.85,264.94,261.27,264.94
1988-03-14,264.93,266.55,264.52,266.37
1988-03-15,266.34,266.41,264.92,266.13
1988-03-16,266.11,268.68,264.81,268.65
1988-03-17,268.66,271.22,268.65,271.22
1988-03-18,271.22,272.64,269.76,271.12
1988-03-21,271.1,271.12,267.42,268.74
1988-03-22,268.73,269.61,267.9,268.84
1988-03-23,268.81,269.79,268.01,268.91
1988-03-24,268.91,268.91,262.48,263.35
1988-03-25,263.34,263.44,258.12,258.51
1988-03-28,258.5,258.51,256.07,258.06
1988-03-29,258.11,260.86,258.06,260.07
1988-03-30,260.06,261.59,257.92,258.07
1988-03-31,258.03,259.03,256.16,258.89
1988-04-04,258.89,259.06,255.68,256.09
1988-04-05,256.1,258.52,256.03,258.51
1988-04-06,258.52,265.5,258.22,265.49
1988-04-07,265.51,267.32,265.22,266.16
1988-04-08,266.15,270.22,266.11,269.43
1988-04-11,269.43,270.41,268.61,270.16
1988-04-12,269.88,272.05,269.66,271.37
